,Dominant,Attempts,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,LeaveSurface,Side,TimeContact,ZeroVel,ZeroAcc
158,0.9696899027331813,-1.0,0.8963922765033372,-0.6106645810403001,0.009897647358068718,-0.5405163249439938,-0.6782121488816965,-0.5943881290882784,-0.49710228404803924,-0.3767854373787133,0.3751106939633798,-0.21411843340695944,-0.41372837849387484,-0.6012109813697042,-0.5664287893271835,-0.8181257911382079
61,-1.0312575156051291,-1.0,-0.8972546067356638,-0.0715227844480537,-0.48851115557731367,-0.13899267427234918,0.0007470228314040031,-0.08912971483237649,-0.13736568373900138,-0.18519474560400373,-0.3482810308388057,-0.1164503760634341,-0.41372837849387484,-0.03566575949805099,-0.5599544230312087,-0.14070935935222903
212,-1.0312575156051291,-1.0,1.3448039973130874,3.1956352595846034,-0.3784486944466693,3.6859551360383143,1.8707491617984329,0.5907512006246016,2.891740776060901,3.807439670563545,-0.12730929614838563,0.07888573862361661,-0.41372837849387484,3.2467189876776015,3.601213286338874,3.7725214844599786
43,-1.0312575156051291,1.0,-0.8972546067356638,0.04670805577362032,-0.643311873441386,-0.11595179062626362,0.14914229090043496,-0.058403078933302356,-0.007556699366450303,-0.0821743736293152,-0.3352752093123762,-0.21411843340695944,-0.41372837849387484,0.08775171785019437,-0.2824815817751462,0.2512714108850947
80,0.9696899027331813,1.0,-0.8972546067356638,-1.310426181887185,1.0436587253653047,-1.0693287733807264,-1.1313443995731833,-1.2377000201301611,-1.1340639227910094,-1.0136077367470024,0.004307568235296439,-0.3117864907504848,-0.41372837849387484,-1.3088518045560995,-0.9558156765565243,-1.2048450745267083
110,0.9696899027331813,-1.0,1.3448039973130874,-0.9275507283786243,0.9113081320802945,-0.58547021681293,-0.7181291823846986,-0.8293819782882397,-0.9358980796265297,-0.6083262734010331,0.18426857733482388,-0.018782318719908743,-0.41372837849387484,-0.9622425674056633,-0.2834064912459999,-0.7970798437429153
247,0.9696899027331813,1.0,-0.44884288592591354,-0.0062208668837567625,0.025512750032229435,-0.3753631379703037,-0.6122381629531236,-0.786537795837418,1.3749435078672754,0.05433611926783807,-0.06363939648630824,-0.1164503760634341,-0.41372837849387484,-0.03022782467236192,-0.34167578790977293,-0.08020226059076307
9,0.9696899027331813,1.0,-0.8972546067356638,-1.0741936309791502,-0.08761787977799804,-0.8479429403057507,-0.8606108158606922,-0.990805009138305,-0.9339992779934206,-0.796176951671711,-0.01566034971758867,-0.21411843340695944,-0.41372837849387484,-1.0667454888384689,-0.6348720901703455,-1.0496312124864258
59,0.9696899027331813,-1.0,-0.8972546067356638,-0.6743625918574034,-0.25102476399257556,-1.0242137564513283,-0.6508615888888988,-1.1061380861397594,0.1545319127689559,-0.8492171431834318,-0.06537933859132136,-0.1164503760634341,-0.41372837849387484,-0.7425972868376174,-0.6718684690044872,-0.6786963896443947
167,0.9696899027331813,1.0,-0.0004311651161633194,-0.3421247656530869,-0.6239029005922858,-0.6154394780588874,-0.45330923326524486,-0.35203719805332756,-0.0491577169645684,-0.24656496719288584,-0.2644868912001555,-0.21411843340695944,-0.41372837849387484,-0.3101632522208726,-0.756960140323013,-0.25909281345074964
