Model,Accuracy,Precision,Sensitivity (Recall),AUC
DecisionTree,0.7538461538461538,0.8536585365853658,0.7777777777777778,0.7466666666666667
KNN,0.6615384615384615,0.7346938775510204,0.8,0.5883333333333334
LogisticRegression,0.6923076923076923,0.7272727272727273,0.8888888888888888,0.7977777777777778
MLP,0.6461538461538462,0.7391304347826086,0.7555555555555555,0.7155555555555555
RandomForest,0.8307692307692308,0.84,0.9333333333333333,0.7877777777777777
SVC,0.676923076923077,0.7307692307692307,0.8444444444444444,0.6577777777777777
XGBoost,0.7538461538461538,0.7735849056603774,0.9111111111111111,0.7622222222222222
